,시군구,단지명,전용면적,계약년월,거래금액,층,건축년도,yrmth
0,0,0,75.9238,202310.0,24500.0,10.0,2014.0,202310.0
1,0,1,42.19,202310.0,10000.0,3.0,1991.0,202310.0
2,0,2,52.92,202310.0,16500.0,21.0,2002.0,202310.0
3,0,2,84.63,202311.0,26000.0,8.0,2002.0,202311.0
4,0,2,59.63,202311.0,18500.0,7.0,2002.0,202311.0
5,0,0,75.9238,202311.0,30000.0,6.0,2014.0,202311.0
6,0,2,59.63,202312.0,19500.0,6.0,2002.0,202312.0
7,0,2,59.63,202401.0,17700.0,18.0,2002.0,202401.0
8,0,2,59.63,202401.0,21400.0,20.0,2002.0,202401.0
9,0,2,59.63,202401.0,18500.0,10.0,2002.0,202401.0
10,0,2,59.63,202401.0,18300.0,5.0,2002.0,202401.0
11,0,2,59.63,202401.0,20000.0,7.0,2002.0,202401.0
12,0,2,84.63,202401.0,25500.0,6.0,2002.0,202401.0
13,0,2,84.63,202402.0,24500.0,3.0,2002.0,202402.0
14,0,2,84.63,202402.0,27200.0,18.0,2002.0,202402.0
15,0,2,59.85,202402.0,17500.0,2.0,2002.0,202402.0
16,0,2,59.85,202402.0,17900.0,5.0,2002.0,202402.0
17,0,2,49.79,202402.0,14500.0,2.0,2002.0,202402.0
18,0,2,59.63,202402.0,17750.0,16.0,2002.0,202402.0
19,0,2,59.63,202402.0,18500.0,8.0,2002.0,202402.0
20,0,2,59.85,202305.0,17900.0,2.0,2002.0,202305.0
21,0,2,59.63,202403.0,17500.0,16.0,2002.0,202403.0
22,0,2,84.63,202403.0,27500.0,14.0,2002.0,202403.0
23,0,2,59.85,202403.0,17500.0,12.0,2002.0,202403.0
24,0,2,59.63,202404.0,17600.0,12.0,2002.0,202404.0
25,0,2,52.92,202404.0,16900.0,21.0,2002.0,202404.0
26,0,2,59.63,202404.0,15900.0,1.0,2002.0,202404.0
27,0,2,59.63,202305.0,21000.0,18.0,2002.0,202305.0
28,0,2,59.63,202305.0,20500.0,19.0,2002.0,202305.0
29,0,3,43.92,202305.0,7500.0,1.0,1985.0,202305.0
30,0,2,59.85,202305.0,19000.0,1.0,2002.0,202305.0
31,0,2,59.63,202305.0,18000.0,5.0,2002.0,202305.0
32,0,2,59.85,202305.0,19000.0,1.0,2002.0,202305.0
33,0,2,59.63,202305.0,19700.0,14.0,2002.0,202305.0
34,0,2,59.63,202306.0,19000.0,17.0,2002.0,202306.0
35,0,2,59.63,202306.0,17300.0,10.0,2002.0,202306.0
36,0,2,84.63,202306.0,28000.0,20.0,2002.0,202306.0
37,0,2,59.63,202306.0,20250.0,12.0,2002.0,202306.0
38,0,2,84.63,202306.0,27200.0,11.0,2002.0,202306.0
39,0,2,59.63,202306.0,20500.0,19.0,2002.0,202306.0
40,0,2,59.63,202306.0,19600.0,8.0,2002.0,202306.0
41,0,2,52.92,202306.0,16200.0,1.0,2002.0,202306.0
42,0,2,59.63,202307.0,19300.0,6.0,2002.0,202307.0
43,0,3,43.92,202307.0,10500.0,4.0,1985.0,202307.0
44,0,2,59.85,202307.0,18700.0,17.0,2002.0,202307.0
45,0,2,59.63,202308.0,18500.0,7.0,2002.0,202308.0
46,0,4,41.46,202308.0,7800.0,5.0,1987.0,202308.0
47,0,2,59.85,202308.0,17000.0,7.0,2002.0,202308.0
48,0,2,59.63,202309.0,18000.0,5.0,2002.0,202309.0
49,0,2,59.63,202309.0,18500.0,16.0,2002.0,202309.0
50,0,2,59.63,202309.0,17700.0,5.0,2002.0,202309.0
51,0,2,59.63,202309.0,17000.0,12.0,2002.0,202309.0
52,0,2,59.63,202309.0,17500.0,21.0,2002.0,202309.0
53,0,2,59.63,202309.0,19000.0,15.0,2002.0,202309.0
54,0,2,59.85,202309.0,17000.0,10.0,2002.0,202309.0
55,1,5,49.71,202312.0,13200.0,9.0,2016.0,202312.0
56,1,6,87.42,202311.0,21800.0,10.0,1998.0,202311.0
